ID,Name,Address,Longitude,Latitude,Url,Photos,Description,Review_count,Zip_code,Search_category,
B4-q0_oVzstV-m5Yv8dF6Q,Cafecito Salvadoreño,412 W Anaheim St Long Beach CA US 90813,-118.1965151,33.78255531,https://www.yelp.com/biz/cafecito-salvadore%C3%B1o-long-beach?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,https://s3-media3.fl.yelpcdn.com/bphoto/1VlKc_gx9mUV3D22KjadWA/o.jpg,Latin American latin,44,90813,Food,
qi1D4BkA_E8RaYu-28l0BQ,Baja Cali Fish & Tacos,940 Pine Ave Long Beach CA US 90813,-118.19199,33.77879,https://www.yelp.com/biz/baja-cali-fish-and-tacos-long-beach?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,https://s3-media2.fl.yelpcdn.com/bphoto/-UroZiLOmhnDNcNweEpAdg/o.jpg,Mexican mexican Seafood seafood,158,90813,Food,
ZxxGVEnlOLUmtzV4KNWRog,Babette Bakery,1404 Atlantic Ave Long Beach CA US 90813,-118.184447,33.784121,https://www.yelp.com/biz/babette-bakery-long-beach?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,https://s3-media1.fl.yelpcdn.com/bphoto/UlPyfTQfc8Y7TZ19kiZ4Lw/o.jpg,Bakeries bakeries Desserts desserts Sandwiches sandwiches,301,90813,Food,
YoBU4N2v6YHWWHevNPBtfg,USA Daily Live Seafood,1436 Cherry Ave Long Beach CA US 90813,-118.16729,33.78558,https://www.yelp.com/biz/usa-daily-live-seafood-long-beach-3?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,https://s3-media3.fl.yelpcdn.com/bphoto/X4DXj0e99tis8UWTWawLMQ/o.jpg,Seafood Markets seafoodmarkets,18,90813,Food,
b8ziV6dS946Tn0dp-mRGVQ,BBQ Chef,1782 Martin Luther King Jr Ave Long Beach CA US 90813,-118.1805079,33.7895071,https://www.yelp.com/biz/bbq-chef-long-beach?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,https://s3-media1.fl.yelpcdn.com/bphoto/4pwpuWeptjaoW1lVOXERSg/o.jpg,American (Traditional) tradamerican Barbeque bbq,35,90813,Food,
5CLj4IMEmD6Rup6qvL0bDA,Pacific Tacos,146 W 10th St Long Beach CA US 90813,-118.193411,33.77878142,https://www.yelp.com/biz/pacific-tacos-long-beach-3?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,https://s3-media3.fl.yelpcdn.com/bphoto/gqfnlP8N66dpyvFAQsWRlA/o.jpg,Mexican mexican Breakfast & Brunch breakfast_brunch,106,90813,Food,
cd7ztehyc0ItDdd1dH-Rrw,Hot Dog Lady,1001 E 10th St Long Beach CA US 90813,-118.180578,33.77906626,https://www.yelp.com/biz/hot-dog-lady-long-beach?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,https://s3-media3.fl.yelpcdn.com/bphoto/9cHf6Hzzk4PB_2I78f_ApA/o.jpg,Street Vendors streetvendors Hot Dogs hotdog,1,90813,Food,
l7-mUmuTpoBPXbzDAmb8gA,Pinches Pizzas,1711 E Anaheim St Long Beach CA US 90813,-118.1707371,33.7827449,https://www.yelp.com/biz/pinches-pizzas-long-beach-3?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,https://s3-media1.fl.yelpcdn.com/bphoto/F-243v7V1IrACuEaG0vE7g/o.jpg,Pizza pizza,345,90813,Food,
S4heHgB2YBW1cJiJsMIlFw,La Bodega,1420 E Anaheim St Long Beach CA US 90813,-118.17383,33.78236,https://www.yelp.com/biz/la-bodega-long-beach?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,https://s3-media3.fl.yelpcdn.com/bphoto/7QD6K5HqySLH08SR9I_Smw/o.jpg,Meat Shops meats Fruits & Veggies markets,33,90813,Food,
YTNDFalkX-JPI07UDncO9A,Panchos Tacos,449 W Anaheim St Long Beach CA US 90813,-118.197525,33.783131,https://www.yelp.com/biz/panchos-tacos-long-beach?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,https://s3-media3.fl.yelpcdn.com/bphoto/_5ORAjYQ9kNF-jcTC9KARQ/o.jpg,Food Trucks foodtrucks Tacos tacos,14,90813,Food,
t6kjaoVF07Xz2qia61XPWw,El Bukanas,306 W Anaheim St Long Beach CA US 90813,-118.1952515,33.7824669,https://www.yelp.com/biz/el-bukanas-long-beach?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,https://s3-media2.fl.yelpcdn.com/bphoto/TauWbGB-eSLFsCe6PO7fIQ/o.jpg,Mexican mexican,44,90813,Food,
lzCwRDtTgknuNTwvynBuvg,Star Bakery & Sandwich,1207 Gardenia Ave Long Beach CA US 90813,-118.1687485,33.7821882,https://www.yelp.com/biz/star-bakery-and-sandwich-long-beach?adjust_creative=TMt4NfReId8mVEAce8X_4Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=TMt4NfReId8mVEAce8X_4Q,https://s3-media1.fl.yelpcdn.com/bphoto/LUJFMx-pudbeb64OyCR94g/o.jpg,Sandwiches sandwiches Bubble Tea bubbletea Cambodian cambodian,29,90813,Food,
