licenseNum,date_fetched,name,place_id,formatted_address,latitude,longitude,price_level,rating
BU20513900,4/5/19,Vitthara Tan Law Offices,ChIJbbiDnm4x3YARs6Ux30QeThE,"1360 E Anaheim St #201, Long Beach, CA 90813, USA",33.782197,-118.1744117,,5
BU20650900,4/5/19,Ilda's Hair Design,ChIJu1xtBnIx3YARp6pmRxkhcBM,"1717 E Anaheim St, Long Beach, CA 90813, USA",33.7827862,-118.1704768,,4.6
BU20039940,4/5/19,Edith's Barber & Beauty Shop,ChIJ38G6pGkx3YARiwmvSrXvJOU,"1013 E Anaheim St, Long Beach, CA 90813, USA",33.7827181,-118.1802853,,4
BU20640320,4/5/19,Bourbon Street Liquor,ChIJPbBfAhMx3YAREn2CW5dd_LA,"1360 E 7th St, Long Beach, CA 90813, USA",33.775025,-118.173802,,3.9
BU01022900,4/5/19,The Salvation Army Family Store & Donation Center,ChIJi70DPGkx3YARpSAmwOnD17k,"1370 Alamitos Ave, Long Beach, CA 90813, USA",33.7835816,-118.1770241,,3.7
BU20700180,4/5/19,Metro by T-Mobile,ChIJq_I5-20x3YARytPXPIJaNWA,"1617 E Anaheim St, Long Beach, CA 90813, USA",33.7828611,-118.1714828,1,3.8
BU20724170,4/5/19,Regal Tailoring & Regal Dry Cleaning,ChIJEdowMa8x3YARsjiB2XSY1Ds,"371 Redondo Ave A, Long Beach, CA 90814, USA",33.7707011,-118.1526527,,5
BU20637960,4/5/19,Pacific Coast Style,ChIJDa3gEikw3YAR-JdjspOwFjo,"6232 E Pacific Coast Hwy, Long Beach, CA 90803, USA",33.7663671,-118.1173736,,4.9
BU20619680,4/5/19,Daisy Flowers,ChIJg__wNQwx3YARAynrqNR_3Ho,"626 Cherry Ave, Long Beach, CA 90802, USA",33.7750785,-118.1675438,,4.9
BU20713730,4/5/19,Alex's Bar,ChIJ1bBKvp8x3YAR59EiENpiiU8,"2913 E Anaheim St, Long Beach, CA 90804, USA",33.7827625,-118.15739,1,4.5
BU20718850,4/5/19,Long Beach Dental,ChIJz3zmNREx3YARhieGGYM7YTQ,"308 Orange Ave, Long Beach, CA 90802, USA",33.7703015,-118.176357,,3.9
BU20534810,4/5/19,Rascals Teriyaki Grill,ChIJY_PsLd0x3YARGQzly1J8Dhg,"1760 N Bellflower Blvd, Long Beach, CA 90815, USA",33.7879999,-118.1237359,1,4.5
BU20651460,4/5/19,Bal Jagat - Children's World Inc.,ChIJ1xEXJMEx3YAR5kJdnA2TJqg,"5199 E Pacific Coast Hwy #204, Long Beach, CA 90804, USA",33.783216,-118.132547,,5
BU20706270,4/5/19,New Generation Smoke Shop,ChIJJS6IvqIx3YAR304yf6CPnWo,"3735 E Anaheim St, Long Beach, CA 90804, USA",33.782993,-118.1485199,,4.1
BU20311830,4/5/19,Jay's Hearing Aid Center,ChIJOy3fOqUx3YARHs6TjIgQirw,"3740 E 7th St, Long Beach, CA 90804, USA",33.7751538,-118.148215,,5
BU20713450,4/5/19,Belmont Shore Veterinary Hospital,ChIJsYi78Ssw3YARoalnGshkH6o,"6222 E Pacific Coast Hwy, Long Beach, CA 90803, USA",33.76646,-118.1177326,,4.6
BU20566390,4/5/19,TNT Hair & Nail,ChIJAXwv9gsx3YAR7xo3wobraLM,"2230 E 7th St, Long Beach, CA 90804, USA",33.7748542,-118.1651055,,4.5
BU07015940,4/5/19,Cafe Piccolo,ChIJuw_9nKsx3YAR1U_Ye7sUcR0,"3222 E Broadway, Long Beach, CA 90803, USA",33.764386,-118.154194,2,4.7
BU20447200,4/5/19,The Finest Nails & Spa,ChIJf70Y2tMx3YARXK0qS-1MJwc,"5712 E 7th St, Long Beach, CA 90803, USA",33.774897,-118.1202264,,3.9
BU20648800,4/5/19,Earl Jordan - State Farm Insurance Agent,ChIJSy62Hwcx3YARq2hlrRxDI0A,"2545 E Broadway, Long Beach, CA 90803, USA",33.7662029,-118.1617972,,3
BU20611040,4/5/19,Mike's Auto Repair,ChIJn8fUUmkx3YAROE9X-xwUkAg,"1190 E Anaheim St, Long Beach, CA 90813, USA",33.7824133,-118.1768216,,4.5
BU20627050,4/5/19,Merry's,ChIJEwJeUwcx3YARq5Vy9KNVzRQ,"2747 E Broadway, Long Beach, CA 90803, USA",33.7657855,-118.159691,,5
BU20708540,4/5/19,Pan's Coach Craft,ChIJ44ukCXIx3YARBB6nxK2rh04,"1710 E Anaheim St, Long Beach, CA 90813, USA",33.7823082,-118.1706196,,5
BU20108630,4/5/19,Mkott Pich Jewelry,ChIJBWWamnMx3YAR5JjbQd3wj_8,"2120 E Anaheim St, Long Beach, CA 90804, USA",33.7822738,-118.1662663,,4.8
BU20514601,4/5/19,Anthony's Wigs,ChIJo-3Yd7cx3YARyfNb8fHn5sg,"4632 E 7th St, Long Beach, CA 90804, USA",33.7751677,-118.1386387,,5
BU20147170,4/5/19,Sherman Julie A DO,ChIJic4kQ5cx3YAR2dftnXF3BfE,"1703 Termino Ave # 209, Long Beach, CA 90804, USA",33.7882653,-118.1461045,,5
BU20621200,4/5/19,Aki Sushi Bar & Bai Plu Thai Restaurant,ChIJ-dCtfRIx3YARdWNRF1kmRWo,"1626 E 7th St, Long Beach, CA 90813, USA",33.7752183,-118.1713319,2,4.5
BU20717700,4/5/19,Ambiance Skin Care & Day Spa,ChIJ97g6NLAx3YARIvyTTN8jcM4,"3946 E 4th St, Long Beach, CA 90814, USA",33.7715561,-118.1462037,,4.3
BU20707890,4/5/19,Ambiance Skin Care & Day Spa,ChIJ97g6NLAx3YARIvyTTN8jcM4,"3946 E 4th St, Long Beach, CA 90814, USA",33.7715561,-118.1462037,,4.3
BU20607830,4/5/19,Rick Wicked's Smoke Shop,ChIJG-KIMKIx3YAREOblbERTjOU,"3410 E 11th St, Long Beach, CA 90804, USA",33.7806407,-118.1520956,,4.6
BU20303930,4/5/19,Broadway Donuts,ChIJy_uCMhcx3YAR3n2TQAv8rc4,"1200 E Broadway, Long Beach, CA 90802, USA",33.7683156,-118.1767331,1,4.7
BU20710850,4/5/19,ABC Wig Co Hair Design,ChIJwVZ5v3cx3YARc91YF4qoeOg,"2600 E Pacific Coast Hwy #140, Long Beach, CA 90804, USA",33.789677,-118.160547,,3.3
BU20642460,4/5/19,US Liquor,ChIJiV5Ge3ox3YARhBM-VXt9hZY,"2002 Pacific Coast Hwy, Long Beach, CA 90804, USA",33.789587,-118.1672538,,4.2
