licenseNum,date,yelp_name,yelp_id,image_url,is_claimed,is_closed,address,city,state,country,zip_code,price,rating,review_count,transactions,url
BU91009150,2019-04-01,Spirit Cruises,LicHUiCHCZlJNygt3wppOA,https://s3-media3.fl.yelpcdn.com/bphoto/SoFusD_ujQYwIamcL3S2TQ/o.jpg,True,False,429 Shoreline Village Dr,Long Beach,CA,US,90802,,3.5,25,[],https://www.yelp.com/biz/spirit-cruises-long-beach-2?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU96020430,2019-04-01,Village Hat Shop,Me-AZBlxAyw5QMWgj-jNiA,https://s3-media1.fl.yelpcdn.com/bphoto/UAFFFavrqw-YqRqcY2m83A/o.jpg,True,False,429-A Shoreline Village Dr,Long Beach,CA,US,90802,$$,4.0,66,[],https://www.yelp.com/biz/village-hat-shop-long-beach-2?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU97005870,2019-04-01,Hot Licks,6AsTOGZQDDyoDRwjuYCrAw,https://s3-media1.fl.yelpcdn.com/bphoto/qCU_8JvbyX8jym-2VQJLTQ/o.jpg,True,False,419 Shoreline Village Dr,Long Beach,CA,US,90802,$$,4.5,124,[],https://www.yelp.com/biz/hot-licks-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21524339,2019-04-01,Wheel Fun Rentals - Shoreline Village,l-SoGUptKpajVSOEBVgUxA,https://s3-media3.fl.yelpcdn.com/bphoto/VoZZw4arakojzEzjbSkkzw/o.jpg,True,False,429 Shoreline Village Dr,Long Beach,CA,US,90802,,4.5,83,[],https://www.yelp.com/biz/wheel-fun-rentals-shoreline-village-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21525244,2019-04-01,Ace of Paint's,tE8zC86zkzgQT543epIbvA,https://s3-media4.fl.yelpcdn.com/bphoto/Kq7K7WJ4djeIlMtVy7bDHw/o.jpg,False,False,1493 Cota Ave,Long Beach,CA,US,90813,,3.0,2,[],https://www.yelp.com/biz/ace-of-paints-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21525767,2019-04-01,Sugar Daddies Sweet Shoppe,zw7yiKuHyi3cxXrsC5PPGQ,https://s3-media3.fl.yelpcdn.com/bphoto/fa7Pyfmhxd-Y9pr3W0DD1Q/o.jpg,True,False,429 Shoreline Village Dr,Long Beach,CA,US,90802,$,4.5,11,[],https://www.yelp.com/biz/sugar-daddies-sweet-shoppe-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21703312,2019-04-01,Istanbul Home,YgeQQrM17-GNzywbGoqirg,https://s3-media3.fl.yelpcdn.com/bphoto/-lCnOmfW4yqZZYpUTikm2w/o.jpg,True,False,419 Shoreline Village Dr,Long Beach,CA,US,90802,$$$,4.5,6,[],https://www.yelp.com/biz/istanbul-home-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21608430,2019-04-01,Mr & Mrs Fire Extinguisher,7xrc_G_zJ21M6mwYwh_tIg,https://s3-media2.fl.yelpcdn.com/bphoto/iYjtx2U1eoqoTfTn-Hvrpw/o.jpg,False,False,1724 Hayes Ave,Long Beach,CA,US,90813,,1.0,2,[],https://www.yelp.com/biz/mr-and-mrs-fire-extinguisher-long-beach-2?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
MJ21700700,2019-04-01,Chronic Pain Releaf Center,-9OSeUlA8uGBsvqKoRizTQ,https://s3-media4.fl.yelpcdn.com/bphoto/GHRfH_dM68Ihj7luB3iwsA/o.jpg,True,False,1501 Santa Fe Ave,Long Beach,CA,US,90813,,4.5,8,[],https://www.yelp.com/biz/chronic-pain-releaf-center-long-beach?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
BU21708534,2019-04-01,Budget Towing Service,tvfoZauohFxeTJjyHdM8yA,https://s3-media1.fl.yelpcdn.com/bphoto/FTjgTQccnfoFXhw0OdFYig/o.jpg,True,False,2112 W 17th St,Long Beach,CA,US,90813,,3.0,6,[],https://www.yelp.com/biz/budget-towing-service-long-beach-2?adjust_creative=OorxPpvbQO7_P_C9N1Ciwg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=OorxPpvbQO7_P_C9N1Ciwg
